estado;regiao;interestpol;high_interest;high_med_interest;med_interest;low_interest;low_no_interest;sem_interest;votedifsex1;votedifsex2;evervotefem;faltapoiofam;dific_conc_h;apoio_party;falta_interesse;div_sexual_trab;reasonparty;presidsymbolic;femrightsconhece;femrightsenough;parityagree;quotapunish;quotasenathird;haspartner;housekeep;haskids;haskidsin;haskidsinlittle;kidscare;kidstotal;wannakids;paidjob;assoc;levelasOUTDATED;levelassoc;familysupport;partnersupport;partnchangcitsupport;candwchance;thinkcand;sex;ageinterval;educalevel;incomeinterval;religion;pesos
acre;norte;nenhum;nao_alto;baixo_sem;nao_medio;nao_baixo;baixo_sem;nenhum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;nao;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;influencia;conhece;suficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;sou_membro_de_assoc;na;sou_membro_de_assocna;nao_apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;60 anos ou mais;ensino_medio;ate 2 sm;catolica;0,00174646
amazonas;norte;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;suficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;sim_mas_nunca_se_candidatou;feminino;de 30 a 39;ensino_medio;mais de 2 a 5 sm;evangelica;0,008260283
bahia;nordeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;nao_conhece;voce desconhece a legislacao;concorda;nao;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 50 a 59;ensino_fundamental;ate 2 sm;catolica;0,037066757
bahia;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;sou_membro_de_assoc;baixo;sou_membro_de_assocbaixo;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 30 a 39;ensino_medio;ate 2 sm;evangelica;0,037066757
bahia;nordeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;conhece;suficientes;concorda;nao;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;60 anos ou mais;ensino_fundamental;ate 2 sm;catolica;0,037066757
ceara;nordeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 40 a 49;ensino_medio;ate 2 sm;evangelica;0,022825354
distrito federal;centro-oeste;nenhum;nao_alto;baixo_sem;nao_medio;nao_baixo;baixo_sem;nenhum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;na;conhece;insuficientes;concorda;sim;na;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;nao_nunca_pensou;feminino;de 50 a 59;ensino_medio;ate 2 sm;evangelica;0,007376939
mato grosso;centro-oeste;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;outro;outro;na;nao influencia;conhece;insuficientes;discorda;nao;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;sou_membro_de_assoc;medio;sou_membro_de_assocmedio;apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;de 40 a 49;ensino_medio;mais de 5 a 10 sm;espirita;0,007842212
mato grosso do sul;centro-oeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;simmulheres_engajados/as_feministas;faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;sim;sim_mas_nunca_se_candidatou;feminino;de 40 a 49;ensino_superior;na;catolica;0,006635199
minas gerais;sudeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;concorda;sim;a favor;nao_tem_companh;nao_tem_companh;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_tem_companh;nao_tem_companh;nao;nao_nunca_pensou;feminino;de 30 a 39;ensino_medio;ate 2 sm;catolica;0,053452461
